,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,Fur-Fe-1,fur + Fe,19636,19666,3.64,ECSMS35_RS00095,ECSMS35_RS00095,ECSMS35_RS00095,ECSMS35_RS00095,0.9614767255216693,19651.0
1,Fur-Fe-2,fur + Fe,26481,26520,4.89,ECSMS35_RS00125,ECSMS35_RS00125,ECSMS35_RS00125,ECSMS35_RS00125,0.6204545454545455,26500.5
2,Fur-Fe-3,fur + Fe,117307,117349,24.78,ECSMS35_RS00530,ECSMS35_RS00530,ECSMS35_RS00530,ECSMS35_RS00530,0.8925009235315848,117328.0
3,Fur-Fe-4,fur + Fe,123973,124007,3.27,ECSMS35_RS00575,ECSMS35_RS00575,ECSMS35_RS00575,ECSMS35_RS00575,0.16968325791855204,123990.0
4,Fur-Fe-5,fur + Fe,165737,165781,1.09,ECSMS35_RS00765,ECSMS35_RS00765,ECSMS35_RS00765,ECSMS35_RS00765,0.027286702536510377,165759.0
5,Fur-Fe-6,fur + Fe,177736,177778,119.71,ECSMS35_RS00820,ECSMS35_RS00820,ECSMS35_RS00820,ECSMS35_RS00820,-0.012831858407079646,177757.0
6,Fur-Fe-7,fur + Fe,199005,199050,4.12,ECSMS35_RS00900,ECSMS35_RS00900,ECSMS35_RS00900,ECSMS35_RS00900,-0.0935929648241206,199027.5
7,Fur-Fe-8,fur + Fe,319247,319287,3.85,ECSMS35_RS01570,ECSMS35_RS01570,ECSMS35_RS01570,ECSMS35_RS01570,-0.15584415584415584,319267.0
8,Fur-Fe-9,fur + Fe,320765,320809,3.21,ECSMS35_RS01575,ECSMS35_RS01575,ECSMS35_RS01575,ECSMS35_RS01575,-0.6978851963746223,320787.0
9,Fur-Fe-10,fur + Fe,374637,374677,5.64,ECSMS35_RS01815,ECSMS35_RS01815,ECSMS35_RS01815,ECSMS35_RS01815,0.09991460290350128,374657.0
10,Fur-Fe-11,fur + Fe,519110,519150,5.4,ECSMS35_RS02540,ECSMS35_RS02540,ECSMS35_RS02540,ECSMS35_RS02540,-0.00945179584120983,519130.0
11,Fur-Fe-12,fur + Fe,525415,525455,12.85,ECSMS35_RS02575,ECSMS35_RS02575,ECSMS35_RS02575,ECSMS35_RS02575,-0.0804953560371517,525435.0
12,Fur-Fe-13,fur + Fe,613759,613804,317.76,ECSMS35_RS02985,ECSMS35_RS02985,ECSMS35_RS02985,ECSMS35_RS02985,-0.05440199335548173,613781.5
13,Fur-Fe-14,fur + Fe,623318,623357,415.94,ECSMS35_RS03015,ECSMS35_RS03015,ECSMS35_RS03015,ECSMS35_RS03015,-0.03827037773359841,623337.5
14,Fur-Fe-15,fur + Fe,625704,625744,410.5,ECSMS35_RS03030,ECSMS35_RS03030,ECSMS35_RS03030,ECSMS35_RS03030,-0.0713678844519966,625724.0
15,Fur-Fe-16,fur + Fe,676404,676444,12.93,ECSMS35_RS03290,ECSMS35_RS03290,ECSMS35_RS03290,ECSMS35_RS03290,0.7436159346271706,676424.0
16,Fur-Fe-17,fur + Fe,779624,779667,6.58,ECSMS35_RS03860,ECSMS35_RS03860,ECSMS35_RS03860,ECSMS35_RS03860,-0.055039787798408485,779645.5
