index,TF,Organism,Strain,Media,Supplement,genome_id,organism_id,num_binding_sites,num_samples,num_cond,project,binding tables,curated information,accession,doi,BWcond1_1_name,BWcond1_1,BWcond1_2_name,BWcond1_2,BWcond2_1_name,BWcond2_1,BWcond2_2_name,BWcond2_2,BWcond3_1_name,BWcond3_1,BWcond3_2_name,BWcond3_2,BWcond4_1_name,BWcond4_1,BWcond4_2_name,BWcond4_2
0,Fur,Klebsiella pneumoniae,MGH 78578,M9,Fe,CP000647.1,k_pneumoniae,,2,1,MGH78578,Fe|fur_Fe_binding_table.json,True,GSE167285,,R1,klebfurfinal1.bw,R2,klebfurfinal2.bw,,,,,,,,,,,,
0,Fur,Pseudomonas putida,KT2440,M9,Fe,NC_002947.4,p_putida,,1,1,2457T,fe|fur_fe_binding_table.json,True,GSE167285,,R1,putidafurfinal1_202003.bw,,,,,,,,,,,,,,
1,Sigma D,Pseudomonas putida,KT2440,M9,--,NC_002947.4,p_putida,,2,1,2457T,M9|sigma d_M9_binding_table.json,True,GSE167285,,R1,putidaSigmaD_202003.bw,R2,putidaSigmaD_202005.bw,,,,,,,,,,,,
0,Fur,Salmonella enterica,Typhimurium LT2,M9,Fe,NC_003197.2,s_enterica,,1,1,LT2,Fe|fur_Fe_binding_table.json,True,GSE167285,,,,R2,Salmonella_Fur_Fe_2.bw,,,,,,,,,,,,
1,YdcI,Salmonella enterica,Typhimurium LT2,M9,"pH5, MES",NC_003197.2,s_enterica,,6,3,LT2,MES2|ydci_MES2_binding_table.json;MES5|ydci_MES5_binding_table.json;ph5|ydci_ph5_binding_table.json,True,GSE167285,,MES5 – R1,salmone_ydcI_MES5_1.bw,MES5 – R2,salmone_ydcI_MES5_2.bw,MES5 – R3,salmone_ydcI_MES5_3.bw,MES5 – R4,salmone_ydcI_MES5_4.bw,ph5 – R1,salmone_ydcI_ph55_1.bw,ph5 – R2,salmone_ydcI_ph55_2.bw,,,,
0,Fur,Shigella flexneri,"2a, 2457T",M9,Fe,AE014073.1,s_flexneri,,2,1,2457T,Fe|fur_Fe_binding_table.json,True,GSE167285,,R1,shigella_fur_1.bw,R2,shigella_fur_2.bw,,,,,,,,,,,,
0,CodY,Staphylococcus aureus,LAC chromosome,RPMI,10% LB,CP035369.1,s_aureus,,2,1,LAC,M9|cody_M9_binding_table.json,True,GSE159856,https://doi.org/10.1101/2021.01.08.426013,R1,StaphLAC_new_cody1.bw,R2,StaphLAC_new_cody2.bw,,,,,,,,,,,,
1,SigS,Staphylococcus aureus,USA300_TCH1516,RPMI,10% LB,NC_010079,s_aureus,,8,1,USA300_TCH1516,RPMI|sigs_RPMI_binding_table.json,True,GSE159856,,M1 – R1,StaphTCH_sigs_M1.bw,M1 – R2,Staph_SigS_M1_R2.bw,M2 – R1,StaphTCH_sigs_M2.bw,M2 – R2,Staph_SigS_M2_R2.bw,M3 – R1,StaphTCH_sigs_M3.bw,M3 – R2,Staph_SigS_M3_R2.bw,M4 – R1,StaphTCH_sigs_M4.bw,M4 – R2,Staph_SigS_M4_R2.bw
2,VraR,Staphylococcus aureus,USA300_TCH1516,RPMI,10% LB,NC_010079,s_aureus,,2,1,USA300_TCH1516,RPMI|vrar_RPMI_binding_table.json,True,GSE159856,,R1,StaphTCH_vraR_7H7C11purified.bw,R2,StaphTCH_vraR_13F12F6purified.bw,,,,,,,,,,,,
0,Fur,Yersinia pseudotuberculosis,IP 32953,BHI,Fe,NZ_CP009712.1,y_pseudotuberculosis,,2,1,2457T,Fe|fur_Fe_binding_table.json,True,GSE167285,,R1,yersifurfinal1.bw,R2,yersifurfinal2.bw,,,,,,,,,,,,
